dose ,response,curve_type
0,100,Symmetric 
0,100,Symmetric 
0,100,Symmetric 
0.01,95,Symmetric 
0.01,90,Symmetric 
0.01,98,Symmetric 
0.1,65,Symmetric 
0.1,62,Symmetric 
0.1,67,Symmetric 
0.5,55,Symmetric 
0.5,51,Symmetric 
0.5,48,Symmetric 
1,20,Symmetric 
1,21,Symmetric 
1,15,Symmetric 
10,0,Symmetric 
10,0,Symmetric 
10,0,Symmetric 
100,0,Symmetric 
100,0,Symmetric 
100,0,Symmetric 
0,100,Asymmetric hormetic
0,100,Asymmetric hormetic
0,100,Asymmetric hormetic
0.01,150,Asymmetric hormetic
0.01,150,Asymmetric hormetic
0.01,150,Asymmetric hormetic
0.1,60,Asymmetric hormetic
0.1,60,Asymmetric hormetic
0.1,60,Asymmetric hormetic
0.5,50,Asymmetric hormetic
0.5,50,Asymmetric hormetic
0.5,50,Asymmetric hormetic
1,30,Asymmetric hormetic
1,30,Asymmetric hormetic
1,30,Asymmetric hormetic
10,10,Asymmetric hormetic
10,10,Asymmetric hormetic
10,10,Asymmetric hormetic
100,0,Asymmetric hormetic
100,0,Asymmetric hormetic
100,0,Asymmetric hormetic
0,100,Asymmetric
0,100,Asymmetric
0,100,Asymmetric
0.01,100,Asymmetric
0.01,100,Asymmetric
0.01,100,Asymmetric
0.1,40,Asymmetric
0.1,40,Asymmetric
0.1,40,Asymmetric
0.5,30,Asymmetric
0.5,30,Asymmetric
0.5,30,Asymmetric
1,25,Asymmetric
1,25,Asymmetric
1,25,Asymmetric
10,0,Asymmetric
10,0,Asymmetric
10,0,Asymmetric
100,0,Asymmetric
100,0,Asymmetric
100,0,Asymmetric
