"","Strain","Conc","Area1","Area2","RelArea","Set","setStrain","growthRate","relGrowthRate","hormetic"
"1","ARLE_A1",0,0.75,4.32,3.57,"1","1@ARLE_A1",0.097720502380584,0.945876466541511,TRUE
"2","ARLE_A1",0,0.81,3.99,3.18,"1","1@ARLE_A1",0.0884567407562544,0.856208752002164,TRUE
"3","ARLE_A1",0,0.78,5.85,5.07,"1","1@ARLE_A1",0.123759114846212,1.19791478145633,TRUE
"4","ARLE_A1",0.1,0.74,4.98,4.24,"1","1@ARLE_A1",0.11052948132873,1.06985978071125,TRUE
"5","ARLE_A1",0.1,0.67,4.22,3.55,"1","1@ARLE_A1",0.0995978848031869,0.964048414177666,TRUE
"6","ARLE_A1",0.1,0.67,4.47,3.8,"1","1@ARLE_A1",0.104431667135802,1.01083655833802,TRUE
"7","ARLE_A1",0.5,0.39,3.89,3.5,"1","1@ARLE_A1",0.108631358868722,1.0514870818221,TRUE
"8","ARLE_A1",0.5,0.36,3.81,3.45,"1","1@ARLE_A1",0.10896291189783,1.05469631836923,TRUE
"9","ARLE_A1",0.5,0.28,4.87,4.59,"1","1@ARLE_A1",0.135216688918214,1.30881729847528,TRUE
"10","ARLE_A1",1,0.28,3.12,2.84,"1","1@ARLE_A1",0.0997166329944691,0.965197826192974,TRUE
"11","ARLE_A1",1,0.27,3.22,2.95,"1","1@ARLE_A1",0.102748643523674,0.994545888636525,TRUE
"12","ARLE_A1",1,0.35,3.02,2.67,"1","1@ARLE_A1",0.0923825577262149,0.894208330323742,TRUE
"13","ARLE_A1",5,0.21,1.32,1.11,"1","1@ARLE_A1",0.0556657620216481,0.538811539090478,TRUE
"14","ARLE_A1",5,0.18,1,0.82,"1","1@ARLE_A1",0.0464034593295567,0.449157946149329,TRUE
"15","ARLE_A1",5,0.25,1.08,0.83,"1","1@ARLE_A1",0.0434611746442323,0.420678376622814,TRUE
"16","ARLE_A1",10,0.16,0.86,0.7,"1","1@ARLE_A1",0.0425045803251924,0.41141911134721,TRUE
"17","ARLE_A1",10,0.17,0.87,0.7,"1","1@ARLE_A1",0.0419456693959086,0.406009185261859,TRUE
"18","ARLE_A1",10,0.22,1.23,1.01,"1","1@ARLE_A1",0.0515840208381672,0.49930270692206,TRUE
"19","ARLE_A1",50,0.16,0.46,0.3,"1","1@ARLE_A1",0.0224251656353126,0.217062294155295,TRUE
"20","ARLE_A1",50,0.15,0.37,0.22,"1","1@ARLE_A1",0.0178104913943527,0.172394986282894,TRUE
"21","ARLE_A1",50,0.15,0.34,0.19,"1","1@ARLE_A1",0.0157809351436516,0.152750086304957,TRUE
"22","KSSH_A4",0,0.91,4.27,3.36,"1","1@KSSH_A4",0.089662510212841,0.945610960357233,TRUE
"23","KSSH_A4",0,0.85,6.15,5.3,"1","1@KSSH_A4",0.125569653216095,1.32429975568976,TRUE
"24","KSSH_A4",0,0.87,3.21,2.34,"1","1@KSSH_A4",0.0692268180288352,0.730089283953007,TRUE
"25","KSSH_A4",0.1,0.71,3.67,2.96,"1","1@KSSH_A4",0.0864910231010232,0.912163391619222,TRUE
"26","KSSH_A4",0.1,0.72,3.98,3.26,"1","1@KSSH_A4",0.0924034210954357,0.974517527503206,TRUE
"27","KSSH_A4",0.1,0.71,4.01,3.3,"1","1@KSSH_A4",0.0934848810663475,0.985922967739647,TRUE
"28","KSSH_A4",0.5,0.33,4.66,4.33,"1","1@KSSH_A4",0.12768795475502,1.34664007549337,TRUE
"29","KSSH_A4",0.5,0.4,4.12,3.72,"1","1@KSSH_A4",0.112622136840798,1.18775089747888,TRUE
"30","KSSH_A4",0.5,0.28,4.04,3.76,"1","1@KSSH_A4",0.119352280315042,1.25872925196522,TRUE
"31","KSSH_A4",1,0.22,3.58,3.36,"1","1@KSSH_A4",0.114695488092728,1.20961715645201,TRUE
"32","KSSH_A4",1,0.31,4.27,3.96,"1","1@KSSH_A4",0.121673238078783,1.28320685241059,TRUE
"33","KSSH_A4",1,0.34,3.43,3.09,"1","1@KSSH_A4",0.102273928446907,1.07861521463779,TRUE
"34","KSSH_A4",5,0.22,1.25,1.03,"1","1@KSSH_A4",0.0523078227264255,0.551655874513396,TRUE
"35","KSSH_A4",5,0.18,1.19,1.01,"1","1@KSSH_A4",0.053727543751287,0.566628729484463,TRUE
"36","KSSH_A4",5,0.22,1.03,0.81,"1","1@KSSH_A4",0.0439945027340015,0.463980808500497,TRUE
"37","KSSH_A4",10,0.12,1.16,1.04,"1","1@KSSH_A4",0.0588871104590688,0.621043253659518,TRUE
"38","KSSH_A4",10,0.1,0.84,0.74,"1","1@KSSH_A4",0.0483822689953377,0.510255665833356,TRUE
"39","KSSH_A4",10,0.16,0.73,0.57,"1","1@KSSH_A4",0.0366239940101449,0.386248946921529,TRUE
